timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:29:48.052+01:00,82,"2,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.057+01:00,83,"2,5",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.080+01:00,84,"2,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.085+01:00,85,"2,7",24052,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.120+01:00,86,"2,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.126+01:00,87,"2,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.160+01:00,88,"3,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.166+01:00,89,"3,2",24657,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.200+01:00,90,"3,4",24954,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.205+01:00,91,"3,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.240+01:00,92,"3,6",24657,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.245+01:00,93,"3,7",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.280+01:00,94,"3,8",24398,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.285+01:00,95,"3,9",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.320+01:00,96,"4,1",25995,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.325+01:00,97,"4,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.360+01:00,98,"4,3",24954,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.365+01:00,99,"4,5",23595,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.400+01:00,100,"4,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
